titre,prix,gouvernerat et date dajout,Kilométrage,Couleur du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant,Number of Pictures,Description
OVETTO ET SCARABEO NEUF,0,"Sfax , 18 days ago",4000,Bleu,Manuelle,2001,6,"

          a vendre Ovetto 50 et Scarabeo Importee standard jamais réparée importer de France 🇫🇷 sérieux contacter numéro
          







             Afficher le numéro
            



",,,,,,
toyota yaris,1,"Kébili , 19 days ago",105,Blanc,Manuelle,2018,>4.0L,Toyota,Yaris,5,Pick up,Essence,6,"
         toyota yaris presque neuve ..jamais accidentee ,jamais touchée
        "
🚘Kia Rio Prestige 🚘,0,"Ariana , 16 hours ago",34390,Bleu,Manuelle,2022,1.2L,Kia,Rio,5,Berline,Essence,10,"

          🚘Kia Rio Prestige 🚘
✅1er main
✅tout options
✅année 06 / 2022
✅km 34 390
✅ tu 230
✅1.2
✅5cv
✅Essence
⚡️On accepte l'échange des #voitures⚡️
☎️
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         #showroom🚗 #MHIRI_AUTO🚗
مرحبا بيكم😍😍
📍Résidence Feres lotissement al Yamama Jardin Del Menzah2
        "
Clio classique 2006,18900,"Jendouba , 12 days ago",250000,Vert,Manuelle,2006,1.2L,Renault,Clio,5,Autres,Essence,5,"
         bon etat mechya 250000km
        "
Tivoli,0,"Sousse , a month ago",58900,Gris,Automatique,2017,1.6L,Ssangyong,Family,7,Autres,Diesel,5,"

          Tivoli 1.6L 4 cylindres boîte auto full options kilométrage :58900km
Téléphone :
          







             Afficher le numéro
            



"
avendre ou échange,16.5,"Tunis , a month ago",300,Noir,Manuelle,2001,2.0L,Peugeot,607,5,Autres,Essence,3,"

          Année : 2001
Kilométrage : 350.000
moteur 407: 7 chv
Etat crosserai : 70%
Etat moteur : en bonne état
Pour plus d’info ou visite veuillez me contacter par tel
          







             Afficher le numéro
            



"
Porte droite arriere pour i10 model 2023,498,"Ben Arous , a month ago",3,"
         Porte droite arrière pour Hyundai i10 modèle 2023 en tres bonne état
        ",,,,,,,,,,
clio dynamique,42000,"Ben Arous , 15 days ago",117,Noir,Manuelle,2018,1.2L,Renault,Clio,5,Compacte,Essence,4,"

          clio dynamique année 2018,5ch TCE,ttp, kilométrage 117, essence pour contacter numéro téléphone
          







             Afficher le numéro
            



"
bobine courant BMW D'origine,0,"Sousse , 25 days ago",1,"
         bobine dorigine en tres bon etat
        ",,,,,,,,,,
⚜️ Suzuki Jimny ⚜️ Première main,0,"Ariana , 19 days ago",170,Vert,Manuelle,2004,1.3L,Suzuki,Jimmy,6,4 x 4,Essence,10,"

          ⚜️ Suzuki Jimny ⚜️
Première main
➖Kilométrage: 170.000 km
➖Année: 2004
➖6cv essence
✔️ climatisation
✔️ jantes alu
TEL :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         🏢 Disponible à Notre Showroom AUTOROOM la soukra SIDI FREJ
        "
peugeot 205,0,"Nabeul , 9 days ago",0,Rouge,Manuelle,1995,>4.0L,Peugeot,205,0,Autres,Essence,6,"
         .
        "
kia picanto neuf,1,"Sfax , 3 days ago",34,Gris,Manuelle,2022,1.1L,Kia,Picanto,4,Berline,Essence,10,"

          Kia picanto populaire toute options تسجيل أول premier main dans carte gris serie 227 esence 4 cv moteur 3 cylindres age 01/ 2022 parcouri 34000 km tres bien entretenu chez maison
Pour plus information appelé téléphone
          







             Afficher le numéro
            



"
cadi 1 er main,38000,"Nabeul , a day ago",168,Gris,Manuelle,2009,1.9L,AC,Seven,6,Autres,Diesel,10,"

          A vendre voiture Cadi 1 er main toutes options état et peinture d'origine. clima électronique. 5 place. modèle 2009. KLM 168.000 Pour plus informations
          







             Afficher le numéro
            



"
RENAULT CLIO4 km50 tu 207,0,"Ben Arous , 6 hours ago",50,Gris,Manuelle,2019,1.4L,Renault,Clio,4,Autres,Essence,10,"

          A VENDRE RENAULT CLIO4 toute options 4cv 4 cylindre mouture symbole +radar de recule d'origine+ alarme méta système d'origine , entretient chez maison RENAULT roue de secoure jamais utiliser état d'origine ..tel :
          







             Afficher le numéro
            



"
Passat SE tsi 2018,114900,"Tunis , a month ago",100000,Blanc,Automatique,2018,1.8L,Volkswagen,Passat,10,Berline,Essence,10,"
         Une voiture unique, montage américainne. Passat SE 1.8L, 10CV, Boite auto avec mode S, LED avant et arrière, feu du jour, écran tactile, apple carplay ,toit ouvrant , freinage automatique si obstacle avant et arrière, 104.000 km, jantes alu R19, 2ème propriétaire, carnet d’entretien à jour, état excellent. Voiture très puissante et économique en même temps.
Karahba mta3 kssiba
Prix: 120 mille dinars légèrement négociable.
        "
sangyong,29,"Sousse , a month ago",00,Blanc,Manuelle,2012,2.5L,Ssangyong,Actyon,12,4 x 4,Diesel,4,"
         kol chy merigel
        "
Piaggio a vendree,0,"Sfax , 21 days ago",000,Blanc,Automatique,2007,4,"

          Piaggio ciao a vendre
Contacter moi pour le prix:
          







             Afficher le numéro
            



",,,,,,
clio bombé,19.5,"Tunis , 13 hours ago",211,Bleu,Manuelle,2000,1.4L,Renault,Clio,4,Autres,Essence,9,"

          a vendre Clio 4 pienture d'origine toute option num
          







             Afficher le numéro
            



"
berlingot ancien,0,"Mahdia , 25 days ago",00000,Blanc,Manuelle,2024,<1.0L,Autres,Autres,0000,Autres,Diesel,5,"








             Afficher le numéro
            



"
⚜️Citroën DS3 ⚜️,0,"Ariana , 16 days ago",110,Bleu,Manuelle,2014,1.2L,Citroen,DS3,5,Compacte,Essence,10,"

          ⚜️Citroën DS3 ⚜️
➖ Année : 2014
➖ kilométrage: 110.000Km
➖ 5 cv essence
✔️ climatronic
✔️ radar de recul
✔️ commande au volant
TEL:
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         🏢 Disponible à Notre Showroom AUTOROOM la soukra SIDI FREJ
        "
autoradio kia rio 2018,300,"Ariana , 5 days ago",2,"
         av autoradio original kia rio 2018
        ",,,,,,,,,,
POLO 5 A VENDRE,0,"Tozeur , a month ago",290000,Gris,Automatique,2003,1.4L,Volkswagen,Polo,4,Autres,Essence,6,"
         bien entretenue
        "
Peugeot 3008 1ere main ALLURE,64000,"Ariana , 9 days ago",160000,Gris,Automatique,2018,1.6L,Peugeot,3008,9,Berline,Essence,10,"

          A Vendre Peugeot 3008
1ere main
160.000km
09/2018
TU206
Boite automatique
9ch essence (1.6L)
Toutes options :
- Camera de recul
- Compteur Écran digital
- Keyless Go ( Clé intelligente)
- Feux Led
- Volant multifonctions
- Palettes au volant
- Jante 18
- Vitres teintées
- Climatronic
- Régulateur de vitesse
- Rétroviseur à réglages et rabattement électriques
Contact :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         Page Facebook : Gt auto
        "
Vélo modèle ttc,750,"Nabeul , a month ago",2024,3,"
         Vélo ttc neuf prix 750 dt négociable
        ",,,,,,,,,
Voiture neff,0,"Sousse , 16 days ago",000,Noir,Manuelle,2009,>4.0L,Ford,Fiesta,4,Compacte,Essence,4,"
         Voiture neff
        "
symbole premier main 27399364,0,"Sfax , 5 days ago",149000,Noir,Manuelle,2012,1.4L,Renault,Symbol,05,Berline,Essence,10,"

          premier main tout options KLM
          







             Afficher le numéro
            



"
MERCEDES E200,0,"Sfax , 2 days ago",140000,Gris,Automatique,2016,2.0L,Mercedes-Benz,Classe E,10,Berline,Essence,10,"

          Mercedes-Benz E200
une belle E200 voiture première main
▪︎Mise en circulation : 06/2016
▪︎Immatriculation : 190
▪︎Transmission : automatique
▪︎Motorisation : ⛽ essence
▪︎Puissance fiscale : 10 cv
▪︎Kilométrage : 120 000
▪︎Catégorie : berline
Pour plus d'informations n'hésite pas à nous contacter numéros suivants
☎️
          







             Afficher le numéro
            



         ✅ disponible sur WhatsApp
🚩 SFAX
        "
Poche Additif FAP,600,"Gabès , a month ago",2,"
         Poche additif filtre à particules pour Peugeot 3008 HDI ou CITROEN C4 HDI
        ",,,,,,,,,,
nissan micra 2019 1ere main ✋️,123,"Bizerte , 3 days ago",57000,Bleu,Manuelle,2019,1.2L,Nissan,Micra,5,Compacte,Essence,10,"

          A vendre nissan micra 5 ch 1ere main modèle 2019 مهيش خادم) لوكسين )faible kilométrage 57800 avec carnet d'entretien états d'origine comme neuve
climatiseur, sortie 12v ,usb aux , double clé, fermeture centralisée à distance
pour plus d'informations
tel :
          







             Afficher le numéro
            



"
calandre arrive golf 7 neuf,350,"Tunis , a month ago",2,"

          calandre arrive golf 7 neuf d'origine
téléphone
          







             Afficher le numéro
            



",,,,,,,,,,
🔶◾ 𝐀𝐮𝐝𝐢 𝐐𝟑 𝐒 𝐥𝐢𝐧𝐞◾🔶,123,"Tunis , 10 hours ago",150000,Gris,Automatique,2017,1.4L,Audi,Q3,8,Berline,Essence,10,"
         🔶◾ 𝐀𝐮𝐝𝐢 𝐐𝟑 𝐒 𝐥𝐢𝐧𝐞◾🔶
☏︎ 𝟮𝟯 𝟰𝟮𝟲 𝟭𝟯𝟵 / 𝟐𝟒 𝟖𝟐𝟖 𝟕𝟔𝟓 / 𝟐𝟑 𝟖𝟐𝟑 𝟕𝟗𝟗
💥𝗣̲𝗼̲𝘀̲𝘀̲𝗶̲𝗯̲𝗶̲𝗹̲𝗶̲𝘁̲𝗲̲́ ̲𝗱̲𝗲̲ ̲𝗩̲𝗲̲𝗻̲𝘁̲𝗲̲ ̲𝗼̲𝘂̲ ̲𝗘̲𝗰̲𝗵̲𝗮̲𝗻̲𝗴̲𝗲̲
－ 𝗜𝗺𝗺𝗮𝘁𝗿𝗶𝗰𝘂𝗹𝗮𝘁𝗶𝗼𝗻 ：𝗧𝗨𝗡 𝟭𝟵𝟳
－ 𝗠𝗼𝗱𝗲𝗹𝗲 ：𝟮𝟬𝟭𝟳
－𝗠𝗼𝘁𝗼𝗿𝗶𝘀𝗮𝘁𝗶𝗼𝗻 ：𝟴 𝗖𝗩 𝗲𝘀𝘀𝗲𝗻𝗰𝗲
－ 𝗞𝗶𝗹𝗼𝗺𝗲𝘁𝗿𝗮𝗴𝗲 ：𝟭𝟱𝟬.𝟬𝟬𝟬 𝗞𝗠
𝐎̲𝐩̲𝐭̲𝐢̲𝐨̲𝐧̲𝐬̲ ̲:
-10 Haut parleurs
-Commandes du système audio au volant
-Commandes vocales
-Fonction MP3
-GPS Cartographique
-Kit mains-libres Bluetooth
-Prise iPod
-Arrêt et redémarrage auto. du moteur
-Blocage électronique du différentiel
-Capteur de luminosité
-Capteur de pluie
-Palettes changement vitesses au volant
-Régulateur de vitesse
-Syst. intelligent gestion des cylindres
-Barres de toit
-Boucliers AV et AR couleur caisse
-Buses de lave-glace chauffantes
-Ceinture de vitrage chromée
-Echappement à double sortie
-Essuie-glace arrière
-Feux arrière à LED
-Feux de jour à LED
J-antes Alu
-Vitres arrière et lunette AR surteintées
-Phares bi-xénon
-Radar de stationnement AR AV
-Ecran multifonction couleur
-Filtre à Pollen
-Fixations Isofix aux places arrières
-Inserts de porte métal
-Inserts de tableau de bord métal
-Volant cuir multifonction
-Antidémarrage électronique
---------------------------------------------
🏁 𝗔𝗱𝗿𝗲𝘀𝘀𝗲 : 𝐒𝐇𝐎𝐖𝐑𝐎𝐎𝐌 𝐒𝐐𝐔𝐈𝐃 𝐂𝐀𝐑 𝐑𝐎𝐔𝐓𝐄 𝐌𝐀𝐑𝐒𝐀 𝐆𝐏𝟗
        "
nitro,0,"Ben Arous , 20 days ago",56480875,Autre,Manuelle,2012,2,"








             Afficher le numéro
            



",,,,,,
À vendre : Mercedes C180,68000,"Nabeul , a month ago",168000,Blanc,Manuelle,12,1.8L,Classe C,Mercedes-Benz,Berline,Essence,0,5,"

          À vendre : Mercedes C180, excellente occasion ! Année : 12 ans, Kilométrage : 168000 km, Prix : 68 000 dt. Contactez-moi pour plus d'informations:
          







             Afficher le numéro
            



         .
        "
zimota 125 classic,4500,"Nabeul , 17 days ago",3000,Blanc,Manuelle,2023,10,"
         موتور جديدة عمرها 4شهور ماشية 3الف كلم
كل شي باكو
        ",,,,,,
Volkswagen T-Roc,0,"Tunis , a month ago",90000,Gris,Manuelle,2019,1.1L,Volkswagen,Golf 8,6,Compacte,Essence,10,"

          A Vendre VW T-ROC importée
04/2019
90.000km
Boîte manuelle 6
6ch essence
TU 240
Toutes options :
- Toit panoramique
- Camera de recul
- Volant multifonctions
- Régulateur de vitesse
- Vitres teintées
- Rétroviseurs rabatable
- Jantes Alu
- Vitres teintées
Contact :
          







             Afficher le numéro
            



"
Av. Polo 8,57000,"Ariana , 13 days ago",63000,Blanc,Manuelle,2020,<1.0L,Volkswagen,Polo,5,Compacte,Essence,6,"
         polo 8 Prestige 1ère main, toutes options ~ - Volant cuir Multifonctions - camera de recul - Toit Panoramique Ouvrant - feux de jour LED - Vitres Teintées - Climatronic bizone - Rétroviseurs électriques
        "
FCR,111111,"Kairouan , a month ago",2024,1,"
         FCR LIBYA
        ",,,,,,,,,
kia rio 2020,1,"Tunis , 25 days ago",100000,Rouge,Manuelle,2020,1.2L,Kia,Rio,5,Compacte,Essence,7,"
         kia rio a vendre en bon etat
        "
Clio campus 1.5 dci,24000,"Sousse , 13 days ago",160,Blanc,Manuelle,2010,1.5L,Renault,Clio,6,Compacte,Diesel,6,"

          Clio campus 1.5 dci
2 porte
Mise en circulation 2010
Moteur changé récemment
Vignette 2024 payé
Visite technique janvier 2025
Pneus changé récemment
          







             Afficher le numéro
            



"
icone x7,4000,"Nabeul , 13 days ago",135,Noir,Manuelle,2022,3,"
         icone x7
        ",,,,,,
Belle super 5 essence,8800,"Sousse , 7 days ago",100000,Manuelle,Blanc,1990,Renault,3.0L,Super 5,4,Berline,Essence,6,"
         Super 5 totalement rénovée, tôle, salon....en très bon état 4cv, essence
        "
vend neiman fiât grander,80,"Ariana , a month ago",1,"
         vend neiman fiât grander neuf importer de France prix 80dtdisponibles en février
        ",,,,,,,,,,
Punto a vendre,10500,"Médenine , a month ago",20018,Essence,Noir,Autres,Manuelle,500,Punto,1989,Fiat,>4.0L,4,"
         Essence
        "
enjoliveur ford .,250,"Tunis , a month ago",3,"

          4 enjoliveur ford d'origine très propre par 14.
tel:
          







             Afficher le numéro
            



",,,,,,,,,,
A vendre grande punto 1 ère main,22500,"Tunis , a month ago",212000,Gris,Manuelle,2010,1.2L,Fiat,Grande Punto,5,Compacte,Essence,10,"

          Tel
          







             Afficher le numéro
            




          . A vendre grande punto 1 ère main en très bon état toutes options année 2010. Km 212000. Tel
          







             Afficher le numéro
            



"
clio4,50000,"Sousse , 12 days ago",17250,Noir,Manuelle,2021,<1.0L,Renault,Clio,5,Compacte,Essence,2,"
         clio 4
        "
tivoli 20707405,6,"Sfax , 12 days ago",147000,Gris,Manuelle,2020,1.2L,Ssangyong,Actyon,6,Berline,Essence,10,"

          TIVOLI
Essence 6cv 11/
          







             Afficher le numéro
            




          km start stop régulateur de vitesse rétroviseurs rabattables multi fonctions bluetooth Led clim auto
cuir caméra main libre
          







             Afficher le numéro
            



"
Bloc abs golf 6 importé,900,"Tunis , 6 days ago",2,"
         Le prix un peut négociable
        ",,,,,,,,,,
Mégane 4 neuf,58,"Sousse , 10 hours ago",127000,Blanc,Manuelle,2019,1.5L,Renault,Megane,5,Berline,Diesel,10,"

          Mégane 4 intense état neuf diesel toutes options 115 cvdine modèle 2020 kilométrage certifié série 242 contact
          







             Afficher le numéro
            



"
BMW série 1,47000,"Ariana , 17 days ago",183000,Gris,Manuelle,2012,1.6L,BMW,Serie 1,6,Compacte,Essence,9,"
         je mets en vente ma voiture bmw série 1 importé de l’Allemagne en 2021
183000 km
boîte manuelle
toute options
toit ouvrant
6 chevaux
essence
        "
BAIC S2 A VENDRE,39000,"Sousse , a month ago",81,Gris,Manuelle,17,1.4L,Autres,Autres,7,Autres,Essence,10,"

          A vendre BAIC KENBO YX S2
voiture bien entretenue toute options: caméra et radar de recul, vitres électriques, climatiseurs et chauffages .... Premières mains et tout d'origine.
ANNEE: 2017
KILOMETRAGE: 81000
NUMERO TELEPHONE:
          







             Afficher le numéro
            



"
ducato,0,"Tunis , 9 days ago",00,Blanc,Manuelle,2000,>4.0L,Fiat,Ducato,6,Compacte,Diesel,3,"
"
Scooter Tifone,0,"Tunis , 7 days ago",40,Noir,Automatique,2021,1,"

          À vendre Motos PIAGGIO Typhonne
Puissance :79cm
*tel :
          







             Afficher le numéro
            



",,,,,,
boite vitesse passat b5,300,"Tunis , 13 days ago",2,"
         boite vitesse passat b5
        ",,,,,,,,,,
Poste importer d'origine,2,"Sousse , 18 days ago",1,"
         Classe 1 d'origine importer 💶
USB aux MP3 radio preamplifier état presque neuf kole 7aja ou soum8a ou mara7ba benese el kole ou tarkib ou tejraba ou flouseke fi jibleke:-))))
        ",,,,,,,,,,
Peugeot 208,0,"Sfax , 6 days ago",28000,Blanc,Manuelle,2022,1.2L,Peugeot,208,4,Autres,Essence,9,"

          A vendre 🔴 Peugeot 208 🔴 chez auto rêve ramzi
🔄 𝙋𝙤𝙨𝙨𝙞𝙗𝙞𝙡𝙞𝙩é 𝙙'é𝙘𝙝𝙖𝙣𝙜𝙚 🔄
☎️
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         ☎️
➡️ 𝙇𝙚𝙨 𝘾𝙖𝙧𝙖𝙘𝙩𝙚́𝙧𝙞𝙨𝙩𝙞𝙦𝙪𝙚 :
☑️ Immatriculation : 𝐓𝐮 228
☑️Puissance fiscale: 04 cv
☑️Energie: essence⛽
☑️ Kilométrage: 28.000 km
☑️ Année :03/2022
➡️ 𝑳𝒆𝒔 𝑶𝒑𝒕𝒊𝒐𝒏𝒔 :
☑️ climatiseur
☑️ 2 vitre électrique
☑️ 𝘙é𝘵𝘳𝘰𝘷𝘪𝘴𝘦𝘶𝘳𝘴 é𝘭𝘦𝘤𝘵𝘳𝘪𝘲𝘶𝘦s
☑️ AUX / USB
➡️ Adresse: Route kaied mohamed km 3 sfax avant ceinture
        "
Vente voiture,130000,"Tunis , a month ago",249000,Noir,Manuelle,Fiat,5,"
",,,,,,
⚜️ Volkswagen GOLF 7 ⚜️,0,"Ariana , 19 days ago",170,Gris,Manuelle,2014,1.2L,Volkswagen,Golf,5,Compacte,Essence,10,"

          ⚜️ Volkswagen GOLF 7 ⚜️
Première main
➖ kilométrage: 170.000
➖5 cv essence
✔️ climatisation
✔️ 4 vitres électriques
✔️ jantes alu
TEL :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         🏢 Disponible à Notre Showroom AUTOROOM la soukra SIDI FREJ
        "
Ste vend Mercedes Classe E-180 Avantgarde,98000,"Tunis , a month ago",85000,Noir,Automatique,2014,1.8L,Mercedes-Benz,Classe E,9,Berline,Essence,8,"
         Ste vend Mercedes Classe E-180 Avantgarde Boite Automatique 9CV seulement 85000 km.
Entretien Le Moteur Mercedes : Clim neuf, Batterie neuf et pneus neuf.
Équipement de série Options :
Climatiseur automatique (THERMATIC) Levier sélecteur DIRECT SELECT au volant
Appuie-tête actif en cas d'accident avant Store électrique de lunette arrière
Airbag conducteur et passager avant Store pare-soleil sur portes AR
Airbags latérales Pack Fumeur
Antiblocage des roues (ABS) Protection du dessous de caisse
Freinage d'urgence assisté (BAS)
Pack miroirs
Régulation anti patinage (ASR)
Radio Audio CD Mp3
Régulation de comportement dynamique (ESP)
Interface Bluetooth avec dispositif mains libres
Réglage sièges AV en hauteur et dossier
Inserts décoratifs en ronce de noyer marron clair
Frais d’immatriculation et de plaques
Siège conducteur Avec soutien lombaire 2 réglages
Tapis en velours
Phare à brouillard AV et feu-brouillard AR
Jantes Alu (17"") à 5 doubles branches
Fixations pour sièges enfants ISOFIX
Pack protection Antivol
        "
▶ KIA SPORTAGE ◀,0,"Tunis , 13 hours ago",93000,Gris,Automatique,2019,1.6L,Kia,4 x 4,11,Sportage,Essence,10,"

          ▶ KIA SPORTAGE ◀
▶ 𝙂𝙏-𝙇𝙞𝙣𝙚
▶ Modèle : Déc 2019
▶ Kilométrage : 93.000 km
▶ Puissance fiscale : 11 cv
▶ Energie : Essence
▶ Sièges en Cuir
▶ Boite Automatique
▶ Camera
▶ Feux Xénon / LED
▶ Climatronic
▶ Volant multifonction
▶ Start / Stop
▶ Toit Panoramique
▶ Jantes 19""
☎ :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



"
mercedes e220,22.5,"Ben Arous , 3 days ago",1234,Gris,Manuelle,1997,2.0L,Mercedes-Benz,220,7,Compacte,Diesel,3,"
         opportunité
        "
