titre,prix,gouvernerat et date dajout,Kilométrage,Couleur du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant,Number of Pictures,Description
Citroen jumpy,39000,"Sfax , 11 days ago",241000,Blanc,Manuelle,2014,2.0L,Citroen,Jumpy,7,Utilitaire,Diesel,6,"

          Citroen jumpy année 2014 , 241 000 km au compteur, 2L 7 cv boite 6 , voiture importée de France
كرهبت نضيفه برشه و ما هزتج الرزين ، عنده 5 سنوات عندي
voiture en parfaite état extérieur comme extérieur , 4 pneus neuf , vidange complèt …
mon numéro
          







             Afficher le numéro
            



"
Golf 7 tdi iQ DRIVE importée,0,"Kairouan , 17 days ago",144000,Bleu,Manuelle,2019,1.6L,Volkswagen,Golf 7,6,Berline,Diesel,9,"

          Golf 7 IQ DRIVE importée
avec toit et caméra
année 2019
km144.000
serie 240
          







             Afficher le numéro
            



"
Accessoires Ford Fiesta 2007,0,"La Manouba , 3 days ago",4,"
         Accessoires Ford Fiesta 2007 d'origine
        ",,,,,,,,,,
Chevrolet aveo,13000,"Ariana , a month ago",1,Noir,Manuelle,2006,<1.0L,Chevrolet,Aveo,5,Berline,Essence,3,"
         voiture en bonne état
        "
corps d injection solex,150,"Le Kef , 10 days ago",3,"

          a vendre un corps d injection solex bon êtas pour Peugeot 205 ou 106 ou 405 depuis 1992 ou citroen bx ou zx voir photo
importé depuis 20 ans de France pour ma voiture et non utilisé tel :
          







             Afficher le numéro
            



",,,,,,,,,,
vespa lx 50 2t,3150,"Mahdia , 2 days ago",32000,Noir,Manuelle,2008,3,"
         En bon état
tout en marche ✅
0 dépenses à prévoir
        ",,,,,,
voiture jaguar,45000,"Tunis , a month ago",130,Noir,Manuelle,2010,1.4L,Jaguar,X-Type,7,Berline,Diesel,8,"
         voiture presque avec faible kilométrage
        "
Clio 4 dynamique,36000,"Mahdia , a month ago",1670000,Gris,Manuelle,2019,1.2L,Renault,R19,5,Berline,Essence,5,"
         5ans
167000 km
4 cylender
        "
Mercedes-Benz C200 kompressor,0,"Ariana , 2 days ago",199000,Argent,Automatique,2000,2.0L,Mercedes-Benz,Classe C,11,Berline,Essence,10,"

          A vendre une belle C200 Kompressor boite automatique trés propre et en trés bonne état:
▪︎Mise en circulation : 08/2000
▪︎Immatriculation : 238
▪︎Transmission : automatique
▪︎Motorisation : ⛽ essence
▪︎Puissance fiscale : 11 cv
▪︎Kilométrage : 199.000
▪︎Couleur : gris peinture métallisé
Pour plus d'informations n'hésite pas à nous contacter sur les numéros suivants ⤵️
☎️
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         ✅ disponible sur WhatsApp
🏁 localisation & adresse
🚩 autoroute de Bizerte km 5 ennahli cite la gazela près meuble 5 étoiles 🌟
        "
TIGUAN,120,"Tunis , a month ago",40000,Bleu,Automatique,2018,Volkswagen,1.4L,Tiguan,8,Essence,4 x 4,8,"
         Je mets en vente une belle TIGUAN bleu intérieur blanc premier main très propre et en excellent état.
        "
clio bombe,13700,"Nabeul , 2 days ago",150,Bleu,Manuelle,2000,1.4L,Renault,Clio,4,Compacte,Essence,5,"
         clio bombe câble 2000. 4ch
moteur baco assiste
vitre électrique fermeture centrale
bollar kol orgin jamais accedete نومروها معاود
        "
Nissan Micra,24,"Sfax , a month ago",149.000,Blanc,Manuelle,2017,>4.0L,Nissan,Micra,5,Autres,Essence,8,"

          A Vendre
Nissan Micra 2017
Série 195
kilométrage 149.000
5 CV
4 Cylindre
Essence
Motor État Neuf
2 Double Clé 🔑
Bon État
24.000 Négociable
Téléphone :
          







             Afficher le numéro
            












             Afficher le numéro
            



"
HYNDAI TUCSON N-LINE,0,"Sfax , 34 minutes ago",41.000,Gris,Automatique,2020,1.6L,Hyundai,Tucson,7,Compacte,Diesel,10,"

          𝑨 𝒗𝒆𝒏𝒅𝒓𝒆 HYNDAI TUCSON N-LINE 𝒄𝒉𝒆𝒛 Emna Auto ⚠︎ 𝑷𝒐𝒔𝒔𝒊𝒃𝒊𝒍𝒊𝒕𝒆́ 𝒅'𝒆́𝒄𝒉𝒂𝒏𝒈𝒆 ➪𝑳𝒆𝒔 𝒄𝒂𝒓𝒂𝒄𝒕𝒆́𝒓𝒊𝒔𝒒𝒖𝒆𝒔 :
✓ 𝑩𝒐𝒊𝒕𝒆 𝒂𝒖𝒕𝒐𝒎𝒂𝒕𝒊𝒒𝒖𝒆 ✓ 04/09/2020
✓ 𝑬𝒏𝒆𝒓𝒈𝒊𝒆 : 𝑫𝒊𝒆𝒔𝒆𝒍/𝑯𝒚𝒃𝒓𝒊𝒅𝒆 ✓ 𝑷𝒖𝒊𝒔𝒔𝒂𝒏𝒄𝒆 𝒇𝒊𝒔𝒄𝒂𝒍𝒆: 7𝒄𝒗
✓ 𝑲𝒊𝒍𝒐𝒎𝒆́𝒕𝒓𝒂𝒈𝒆: 41.000 𝒌𝒎 ➪ 𝑳𝒆𝒔 𝒐𝒑𝒕𝒊𝒐𝒏𝒔 :
✓ 𝑴𝒖𝒍𝒕𝒊𝒇𝒐𝒏𝒄𝒕𝒊𝒐𝒏𝒔
✓ 𝑩𝒍𝒖𝒆𝒕𝒐𝒖𝒕𝒉 / 𝑨𝑼𝑿 / 𝑼𝑺𝑩
✓ 𝑳𝒆𝒅
✓ 𝑿𝒆́𝒏𝒐𝒏
✓ 𝑪𝒂𝒑𝒕𝒆𝒖𝒓 𝑨𝑽/𝑨𝑹
✓ 𝑪𝒂𝒎𝒆́𝒓𝒂 360
✓ 𝑽𝒊𝒕𝒓𝒆𝒔 𝒕𝒆𝒊𝒏𝒕𝒆́𝒆𝒔
✓ 𝑹𝒆́𝒈𝒖𝒍𝒂𝒕𝒆𝒖𝒓/𝑳𝒊𝒎𝒊𝒕𝒆𝒖𝒓 𝒅𝒆 𝒗𝒊𝒕𝒆𝒔𝒔𝒆
✓ 𝑱𝒂𝒏𝒕𝒆𝒔 18""
✓ 𝑪𝒍𝒊𝒎𝒂𝒕𝒓𝒐𝒏𝒊𝒄
✓ 𝑻𝒐𝒊𝒕 𝒑𝒂𝒏𝒐𝒓𝒂𝒎𝒊𝒒𝒖𝒆 𝒐𝒖𝒗𝒓𝒂𝒏𝒕 ✓ 4 𝒗𝒊𝒕𝒓𝒆𝒔 𝒆́𝒍𝒆𝒄𝒕𝒓𝒊𝒒𝒖𝒆𝒔
✓ 𝑹𝒆́𝒕𝒓𝒐𝒗𝒊𝒔𝒆𝒖𝒓𝒔 𝒓𝒂𝒃𝒂𝒕𝒕𝒂𝒃𝒍𝒆𝒔 ✓ 𝑴𝒂𝒕𝒓𝒊𝒄𝒖𝒍𝒆: 240
☏︎ 𝑪𝒐𝒏𝒕𝒂𝒄𝒕 :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         ➪ 𝑨𝒅𝒓𝒆𝒔𝒔𝒆 : 𝑹𝒐𝒖𝒕𝒆 𝒃𝒐𝒖𝒛𝒂𝒊𝒆𝒏𝒆 𝒌𝒎 4, 𝑰𝒎𝒎𝒆𝒖𝒃𝒍𝒆 𝒆𝒚𝒂 𝒑𝒓𝒆́𝒔 𝒅𝒆 𝒔𝒂𝒍𝒐𝒏 𝒅𝒆 𝒕𝒉𝒆́ 𝒕𝒉𝒆 𝒄𝒖𝒑.𝑺𝑭𝑨𝑿
        "
Fiat panda 🐼 à vendre,18,"Kasserine , 16 days ago",2200.000,Bleu,Manuelle,2005,3.0L,Fiat,Panda,4,Autres,Essence,5,"

          سيارة fiat panda 🐼 للبيع
سعر مغري
لمزيد التفاصيل برجاء الاتصال على الرقم
          







             Afficher le numéro
            



"
voiture a vendre,27500,"Tunis , 14 days ago",209,Blanc,Manuelle,2014,>4.0L,Citroen,Berlingo,5,Autres,Diesel,10,"
         bonne état tout option
        "
Citroen C3,19000,"Ariana , 6 days ago",334000,Bleu,Manuelle,2004,1.4L,Citroen,C35,5,Compacte,Diesel,4,"
         une Citroen jamais servie comme Taxi
jamais accidanter
voiture d'une femme
nouveau moteur
vitres d'origine
peinture d'origine
jantes aluminium
nouveau embrayage
vidange+filtre+ prahuil
bien entretenu
        "
greatwall m4,37000,"Ben Arous , 24 days ago",81700,Rouge,Manuelle,2017,1.5L,Autres,Autres,06,4 x 4,Essence,6,"

          femme vend une belle great wall M4 . pour visiter et plus d'informations merci de nous contacter sur
          







             Afficher le numéro
            




          contacter sur
          







             Afficher le numéro
            



"
clio,23000,"Ariana , 3 days ago",274000,Rouge,Manuelle,2009,1.2L,Renault,Clio,4,Compacte,Essence,6,"
         clio compus toute option premier main
        "
Bmw 745Li V8,47000,"Ariana , a month ago",300000,Noir,Automatique,2003,>4.0L,BMW,Serie 7,24,Berline,Essence,10,"

          A vendre BMW 745Li
INDIVIDUAL
V8 essence (24ch)
07/2002
FULL OPTIONS :
4 sièges électriques et massant
Réfrigérateur
Climatiseur 4 zones (indépendantes)
Soft close
2 téléphones d’origine BMW
Toit ouvrant
Hayon électrique
Teintée d’origines.
Contact tél :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         Page facebook : Gt auto
        "
Seat Ibiza,0,"Sfax , 6 days ago",80000,Blanc,Manuelle,2021,<1.0L,Seat,Ibiza,4,Autres,Essence,10,"

          A vendre 🔴 Seat Ibiza 🔴 chez auto rêve ramzi
🔄 𝙋𝙤𝙨𝙨𝙞𝙗𝙞𝙡𝙞𝙩é 𝙙'é𝙘𝙝𝙖𝙣𝙜𝙚 🔄
☎️
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         ☎️
➡️ 𝙇𝙚𝙨 𝘾𝙖𝙧𝙖𝙘𝙩𝙚́𝙧𝙞𝙨𝙩𝙞𝙦𝙪𝙚 :
☑️ Immatriculation : 𝐓𝐮 222
☑️Puissance fiscale: 4 cv
☑️Energie: essence ⛽
☑️ Kilométrage: 80.000 km
☑️ Année :2021
➡️ 𝑳𝒆𝒔 𝑶𝒑𝒕𝒊𝒐𝒏𝒔 :
☑️ vitre électrique
☑️ Multi-fonctions
☑️ Climatiseur
☑️ 𝘙é𝘵𝘳𝘰𝘷𝘪𝘴𝘦𝘶𝘳𝘴 é𝘭𝘦𝘤𝘵𝘳𝘪𝘲𝘶𝘦s
☑️ AUX / USB
➡️ Adresse: Route kaied mohamed km 3 sfax avant ceinture.
        "
Peugeot 301,25000,"Tunis , 16 days ago",113000,Noir,Manuelle,2015,1.2L,Peugeot,301,5,Berline,Essence,8,"
         Peugeot 301 / 113000km / première main/ visible lac 1 ou route du relais
        "
polo 3,8000,"Ben Arous , a month ago",300000,Blanc,Manuelle,1996,<1.0L,Volkswagen,Polo,4,Essence,Compacte,1,"
         mecanique behi just takhbichet sghar mte3 dhahna khfifa
        "
Moto électrique NOVAGO Lynx 25,4400,"Tunis , 18 minutes ago",0,Blanc,Automatique,2023,1,"
         Scooter Électrique NOVAGO LYNX 25
- Puissance: 1500 Watts
- Vitesse max: 55km/h
- Capacité de la batterie: 1.74 KWH
- Autonomie de Batterie: 80 km
- Cycle de vie: 1000~1200 cycles
- Frein Avant/Arrière: Frein à disque/Frein a tambour
- Pneu: 10″ en Acier
- Feu Avant/Arrière: à LED/à halogène
- Tableau de Bord: Digital
- Port de Recharge: USB
- Poids Maximal: 180Kg
- Système d’Alarme:
- Blocage Volant/Blocage Auto des roues/System d’alarme
- Porte Bagage
- Couleur: Gris/Bleu/Rouge/Blanc
- Garantie: 1 an
        ",,,,,,
Cla 200 boite auto,73000,"Sousse , a month ago",200,Noir,Automatique,2013,2.0L,Mercedes-Benz,Classe CLA,8,Berline,Essence,8,"

          🚗🚗 MERCEDES- BENZ CLA 200 AMG 🚗🚗 ➤essence / 8 cv ➤Boite auto ➤start stop ➤multi-fonctions ➤bluetooth ➤régulateur de vitesse ➤rétroviseurs rabattables ➤capteur AR/AV ➤xénon/Led ➤GPS ➤clim auto ➤sièges électriques ➤sièges pilote ➤TOUTES OPTIONS
          







             Afficher le numéro
            



"
amortisseur complet mercedes,650,"Tunis , a month ago",5,"
         avant gauche et droit ,
4 point vert, ressort avec toc et amortisseur d origine , 190000km
mercedes w212 , w204
        ",,,,,,,,,,
Fiat Panda,30500,"La Manouba , a month ago",153,Gris,Manuelle,2017,<1.0L,Fiat,Panda,4,Compacte,Essence,9,"
         a vendre fiat panda en très bonne état
essence
4chv
toute options
153klm
année 2017
        "
Mégane 2 essence,0,"Sfax , a month ago",200,Noir,Manuelle,2006,1.4L,Renault,Megane,6,Compacte,Essence,2,"

          voiture très propre
toute option
pour plus d'informations appelé le appelé le
          







             Afficher le numéro
            



"
Toyota HiAce,16,"Bizerte , a month ago",750,Blanc,Manuelle,2001,2.5L,Toyota,Hi Ace,10,Autres,Diesel,2,"

          A vendre Toyota hiace Type de carrosserie Autres Couleur du véhicule Blanc Puissance fiscale 2 Modèle Hi Ace Kilométrage 750 Cylindrée 2.5L Année 2001 Carburant Diesel Etat du véhicule Avec kilométrage Marque Toyota Boite Manuelle 🔴 Contactez-nous pour plus d’informations :📞
          







             Afficher le numéro
            



"
moteur 2litres compresseur classe c w203,3500,"Ariana , a month ago",1,"
         a vendre moteur 2litre compresseur pour une Mercedes c200 w203 presque neuf.
        ",,,,,,,,,,
Pare-choc avant original POLO 8 R-line,0,"Tunis , 21 days ago",5,"
         Pare-choc avant original POLO 8 R-line a vendre
        ",,,,,,,,,,
Citroën C3 Shine tt options,0,"La Manouba , a month ago",106000,Vert,Manuelle,2017,1.2L,Citroen,C3,4,Compacte,Essence,7,"
         A vendre une belle C3 Shine essence
Toutes options :
- Toit panoramique
- Bluetooth/Apple carplay ..
-Capteur de stationnement ,camera +radar de recul
- Allumage automatique des feux ,detecteur de pluie
- Enregistrement video avant
- climatiseur climatronique
- Limiteur +régulateur de vitesse
- Jante aluminium 17""
- Siége reglable en auteur et en profondeur
6 airbags
Plus d'autre options +++
- Pneux et croix de distribution récemment changés
- volant multifonction
Voiture toute neuve en excellent état ,jamais accidenté ,carnet d'entretien
        "
Toktok,123,"Ariana , 21 days ago",000000,Bleu,Manuelle,2017,6,"

          Toktok a vendre
          







             Afficher le numéro
            



",,,,,,
citroen c4,25,"Le Kef , a month ago",300,Gris,Manuelle,2007,1.6L,Citroen,C4,25,Autres,Diesel,10,"








             Afficher le numéro
            



"
Renault trafic dci100,17,"Monastir , a day ago",580000,Blanc,Manuelle,2004,1.9L,Renault,19,7,Compacte,Diesel,6,"

          Voiture Renault trafic dci100
moteur lagouna 1.9 mbadel jdid 3moro 8 chhour
..caret gris 9 plas
vite ilctrik
4 morteseur nef
4 disc nef
boit 6
          







             Afficher le numéro
            



         ..
        "
acss amarok Isuzu,0,"Tunis , 9 hours ago",10,"








             Afficher le numéro
            



",,,,,,,,,,
AUDI A4 A vendre,50000,"Ariana , 8 days ago",270000,Blanc,Automatique,2012,1.8L,Audi,A4,7,Berline,Essence,3,"
         Vend A4 toutes options
Prix légèrement négociable
Curieux s’abstenir Svp
        "
Moteur 110cm3,2250,"Tunis , 3 days ago",8600,Bleu,Manuelle,2022,6,"
         Toutes et d origine double clés avec commande de démarrage a distance+alarme
        ",,,,,,
Peugeot 301 premier main,27000,"Nabeul , 4 days ago",116,Marron,Manuelle,2017,1.2L,Peugeot,301,5,Berline,Essence,9,"

          je met Avendre Une belle Peugeot 301 premier main toute option faible km entretien régulier maison prix 27000 ( tél
          







             Afficher le numéro
            




          et
          







             Afficher le numéro
            



         )
        "
